,author
الرياض - سعدون العويمري,16
القطيف - منير النمر,16
واس - عمان,16
 نصير المغامسي (جدة),16
بيروت: ثائر عباس,16
حائل – خالد العميم,16
 صالح الزهراني (جدة),16
الباحة - عليان آل سعدان:,16
فهد العتيبي- سبق- الطائف:,16
 محمد العبدالله (الدمام),16
إبراهيم محمد باداود,15
المدينة - الرياض,15
راشد محمد الفوزان,15
شلاش الضبعان,15
الرياض - نايف الحمري,15
القاهرة: داليا عاصم,15
جدة: «الشرق الأوسط أونلاين»,15
 عزيزة المانع,15
أبها-الوئام:,15
جدة: فهد البقمي,15
 عبده خال,15
عبدالله البرقاوي-سبق-الرياض:,15
الدمام - واس,15
الجزيرة - عبدالله الفهيد:,15
سالم بن أحمد سحاب,15
تل أبيب: «الشرق الأوسط»,15
علي سعد الموسى,15
الرياض - الوئام:,15
مشاري الفهد من الرياض,15
الرياض: طاهر بخش,15
الوئام - متابعات :,15
بدر الجبل- سبق- تبوك:,15
الرياض: فارس السبيعي,15
وكالات - عواصم,15
عبدالرحمن إدريـس - جدة,15
كتب - علي القحطاني:,15
محمد ماهر - القدس المحتلة,15
جدة: الوطن,14
 سلمان الضباح (بريدة),14
حمزة بوفهيد - الأحساء,14
نيويورك: «الشرق الأوسط»,14
مكة المكرمة - خالد عبدالله,14
 جمال الدوبحي (كوالالمبور),14
لندن : رويترز,14
جدة: ياسر باعامر,14
أ ف ب - لندن,14
اليوم - المنامة,14
 عبدالله الدهاس (مكة المكرمة),14
واس - أبها,14
الرياض - خالد غادن,14
سبق- الطائف:,14
بريدة - ملفي الحربي,14
 فارس القحطاني (الرياض),14
صنعاء: عرفات مدابش,14
الدمام - محمد الغامدي,14
الرياض - عايض الطريسي,14
الخبر - إبراهيم الشيبان,14
&nbsp;عكاظ (جدة),14
حائل - سلطان الشبرمي:,14
 أحمد الصائغ (جدة),14
باريس: «الشرق الأوسط»,14
الدمام - واس:,14
 حمود أبو طالب,14
القاهرة: عبد الستار حتيتة,14
الطائف - الوئام :,14
بيروت: بولا أسطيح,14
كابل: محمود رحماني,13
عايض السعدي - الرياض,13
 بشرى فيصل السباعي,13
القاهرة - واس,13
الرس - الجزيرة:,13
الرس - منصور الحمود:,13
الدمام - مرشد الخالدي,13
 محمد بن سليمان الأحيدب,13
المدينة المنورة - سالم الأحمدي,13
بريدة - سلطان السيف,13
الرياض - محمد الحيدر,13
أ ف ب - واشنطن,13
 سعيد السريحي,13
صنعاء - خاص بالرياض,13
محمد عليان - ينبع,13
واس - المنامة,13
واس- جدة:,13
واس - عدن,13
 حسين هزازي (جدة),13
